participant,trial,response
32,13,enable
32,14,cause
32,15,cause
32,16,cause
32,17,no_difference
32,18,enable
32,19,affect
32,20,cause
32,21,enable
32,22,no_difference
32,23,no_difference
32,24,affect
32,25,enable
32,26,cause
32,27,enable
32,28,affect
32,29,no_difference
32,30,no_difference
33,0,no_difference
33,1,affect
33,2,no_difference
33,3,affect
33,4,cause
33,5,enable
33,6,cause
33,7,enable
33,8,affect
33,9,cause
33,10,affect
33,11,affect
33,12,cause
33,13,cause
33,14,affect
33,15,cause
33,16,cause
33,17,affect
33,18,enable
33,19,enable
33,20,affect
33,21,affect
33,22,no_difference
33,23,no_difference
33,24,affect
33,25,enable
33,26,affect
33,27,no_difference
33,28,affect
33,29,no_difference
33,30,no_difference
34,0,affect
34,1,enable
34,2,affect
34,3,no_difference
34,4,affect
34,5,cause
34,6,affect
34,7,enable
34,8,enable
34,9,cause
34,10,affect
34,11,enable
34,12,cause
34,13,cause
34,14,affect
34,15,cause
34,16,cause
34,17,affect
34,18,enable
34,19,enable
34,20,cause
34,21,enable
34,22,no_difference
34,23,no_difference
34,24,affect
34,25,affect
34,26,affect
34,27,cause
34,28,affect
34,29,no_difference
34,30,no_difference
35,0,no_difference
35,1,enable
35,2,no_difference
35,3,enable
35,4,no_difference
35,5,cause
35,6,affect
35,7,no_difference
35,8,enable
35,9,affect
35,10,affect
35,11,enable
35,12,cause
35,13,enable
35,14,affect
35,15,enable
35,16,cause
35,17,enable
35,18,enable
35,19,no_difference
35,20,affect
35,21,enable
35,22,no_difference
35,23,no_difference
35,24,cause
35,25,no_difference
35,26,affect
35,27,affect
35,28,no_difference
35,29,no_difference
35,30,no_difference
36,0,no_difference
36,1,affect
36,2,enable
36,3,affect
36,4,affect
36,5,cause
36,6,affect
36,7,enable
36,8,affect
36,9,cause
36,10,affect
36,11,affect
36,12,cause
36,13,affect
36,14,affect
36,15,affect
36,16,cause
36,17,affect
36,18,enable
36,19,affect
36,20,cause
36,21,affect
36,22,no_difference
36,23,no_difference
36,24,affect
36,25,enable
36,26,affect
36,27,affect
36,28,affect
36,29,no_difference
36,30,no_difference
37,0,no_difference
37,1,enable
37,2,no_difference
37,3,cause
37,4,affect
37,5,cause
37,6,cause
37,7,no_difference
37,8,affect
37,9,cause
37,10,cause
37,11,cause
37,12,cause
37,13,cause
37,14,cause
37,15,cause
37,16,cause
37,17,affect
37,18,enable
37,19,affect
37,20,affect
37,21,cause
37,22,no_difference
37,23,no_difference
37,24,affect
37,25,enable
37,26,cause
37,27,cause
37,28,affect
37,29,no_difference
37,30,no_difference
38,0,no_difference
38,1,enable
38,2,no_difference
38,3,affect
38,4,no_difference
38,5,cause
38,6,cause
38,7,enable
38,8,cause
38,9,cause
38,10,affect
38,11,enable
38,12,cause
38,13,enable
38,14,enable
38,15,cause
38,16,cause
38,17,affect
38,18,enable
38,19,enable
38,20,affect
38,21,enable
38,22,no_difference
38,23,no_difference
38,24,enable
38,25,enable
38,26,enable
38,27,cause
38,28,affect
38,29,no_difference
38,30,no_difference
39,0,enable
39,1,enable
39,2,cause
39,3,cause
39,4,enable
39,5,cause
39,6,cause
39,7,enable
39,8,affect
39,9,cause
39,10,cause
39,11,enable
39,12,cause
39,13,affect
39,14,affect
39,15,enable
39,16,cause
39,17,cause
39,18,enable
39,19,cause
39,20,cause
39,21,enable
39,22,no_difference
39,23,no_difference
39,24,enable
39,25,enable
39,26,affect
39,27,enable
39,28,no_difference
39,29,no_difference
39,30,no_difference
40,0,no_difference
40,1,no_difference
40,2,no_difference
40,3,affect
40,4,no_difference
40,5,no_difference
40,6,no_difference
40,7,no_difference
40,8,no_difference
40,9,affect
40,10,no_difference
40,11,no_difference
40,12,affect
40,13,no_difference
40,14,enable
40,15,enable
40,16,no_difference
40,17,affect
40,18,no_difference
40,19,affect
40,20,no_difference
40,21,affect
40,22,enable
40,23,no_difference
40,24,no_difference
40,25,no_difference
40,26,affect
40,27,no_difference
40,28,no_difference
40,29,no_difference
40,30,no_difference
41,0,no_difference
41,1,enable
41,2,no_difference
41,3,affect
41,4,no_difference
41,5,cause
41,6,affect
41,7,enable
41,8,cause
41,9,cause
41,10,enable
41,11,affect
41,12,cause
41,13,affect
41,14,enable
41,15,cause
41,16,affect
41,17,affect
41,18,enable
41,19,affect
41,20,cause
41,21,affect
41,22,no_difference
41,23,no_difference
41,24,affect
41,25,enable
41,26,affect
41,27,affect
41,28,cause
41,29,no_difference
41,30,no_difference
42,0,no_difference
42,1,enable
42,2,affect
42,3,cause
42,4,affect
42,5,cause
42,6,cause
42,7,enable
42,8,affect
42,9,cause
42,10,affect
42,11,enable
42,12,cause
42,13,cause
42,14,enable
42,15,cause
42,16,cause
42,17,affect
42,18,enable
42,19,affect
42,20,affect
42,21,cause
42,22,no_difference
42,23,no_difference
42,24,affect
42,25,enable
42,26,enable
42,27,enable
42,28,no_difference
42,29,no_difference
42,30,no_difference
43,0,no_difference
43,1,no_difference
43,2,enable
43,3,affect
43,4,no_difference
43,5,enable
43,6,enable
43,7,enable
43,8,enable
43,9,no_difference
43,10,enable
43,11,enable
43,12,cause
43,13,cause
43,14,cause
43,15,cause
43,16,enable
43,17,affect
43,18,enable
43,19,enable
43,20,affect
43,21,enable
43,22,no_difference
43,23,no_difference
43,24,affect
43,25,enable
43,26,cause
43,27,cause
43,28,no_difference
43,29,no_difference
43,30,no_difference
44,0,no_difference
44,1,enable
44,2,affect
44,3,affect
44,4,affect
44,5,cause
44,6,affect
44,7,enable
44,8,affect
44,9,affect
44,10,cause
44,11,cause
44,12,cause
44,13,cause
44,14,cause
44,15,cause
44,16,cause
44,17,affect
44,18,enable
44,19,cause
44,20,affect
44,21,cause
44,22,no_difference
44,23,no_difference
44,24,cause
44,25,enable
44,26,cause
44,27,cause
44,28,affect
44,29,no_difference
44,30,no_difference
45,0,no_difference
45,1,enable
45,2,no_difference
45,3,cause
45,4,no_difference
45,5,cause
45,6,affect
45,7,enable
45,8,cause
45,9,cause
45,10,affect
45,11,affect
45,12,cause
45,13,cause
45,14,cause
45,15,cause
45,16,cause
45,17,affect
45,18,enable
45,19,affect
45,20,affect
45,21,cause
45,22,no_difference
45,23,no_difference
45,24,affect
45,25,enable
45,26,cause
45,27,affect
45,28,affect
45,29,no_difference
45,30,no_difference
46,0,no_difference
46,1,enable
46,2,no_difference
46,3,cause
46,4,no_difference
46,5,cause
46,6,no_difference
46,7,no_difference
46,8,enable
46,9,no_difference
46,10,cause
46,11,enable
46,12,cause
46,13,cause
46,14,affect
46,15,affect
46,16,cause
46,17,affect
46,18,enable
46,19,no_difference
46,20,affect
46,21,cause
46,22,no_difference
46,23,no_difference
46,24,affect
46,25,no_difference
46,26,cause
46,27,affect
46,28,affect
46,29,no_difference
46,30,no_difference
47,0,no_difference
47,1,enable
47,2,no_difference
47,3,affect
47,4,no_difference
47,5,cause
47,6,cause
47,7,enable
47,8,affect
47,9,affect
47,10,cause
47,11,cause
47,12,cause
47,13,cause
47,14,cause
47,15,affect
47,16,enable
47,17,affect
47,18,enable
47,19,cause
47,20,affect
47,21,affect
47,22,no_difference
47,23,no_difference
47,24,affect
47,25,enable
47,26,cause
47,27,affect
47,28,affect
47,29,no_difference
47,30,no_difference
48,0,no_difference
48,1,enable
48,2,affect
48,3,affect
48,4,no_difference
48,5,enable
48,6,enable
48,7,no_difference
48,8,cause
48,9,cause
48,10,enable
48,11,affect
48,12,cause
48,13,cause
48,14,enable
48,15,cause
48,16,cause
48,17,affect
48,18,enable
48,19,enable
48,20,no_difference
48,21,cause
48,22,no_difference
48,23,no_difference
48,24,affect
48,25,enable
48,26,cause
48,27,affect
48,28,affect
48,29,no_difference
48,30,no_difference
49,0,no_difference
49,1,affect
49,2,no_difference
49,3,cause
49,4,no_difference
49,5,cause
49,6,affect
49,7,no_difference
49,8,enable
49,9,no_difference
49,10,affect
49,11,enable
49,12,cause
49,13,cause
49,14,enable
49,15,affect
49,16,cause
49,17,enable
49,18,enable
49,19,enable
49,20,affect
49,21,enable
49,22,no_difference
49,23,no_difference
49,24,affect
49,25,no_difference
49,26,cause
49,27,affect
49,28,affect
49,29,no_difference
49,30,no_difference
50,0,no_difference
50,1,enable
50,2,affect
50,3,affect
50,4,affect
50,5,cause
50,6,affect
50,7,enable
50,8,enable
50,9,cause
50,10,affect
50,11,enable
50,12,cause
50,13,cause
50,14,cause
50,15,cause
50,16,cause
50,17,affect
50,18,enable
50,19,enable
50,20,affect
50,21,cause
50,22,no_difference
50,23,no_difference
50,24,enable
50,25,enable
50,26,cause
50,27,enable
50,28,affect
50,29,no_difference
50,30,no_difference
51,0,cause
51,1,no_difference
51,2,cause
51,3,enable
51,4,enable
51,5,enable
51,6,cause
51,7,enable
51,8,cause
51,9,enable
51,10,cause
51,11,enable
51,12,cause
51,13,enable
51,14,no_difference
51,15,enable
51,16,cause
51,17,no_difference
51,18,cause
51,19,cause
51,20,no_difference
51,21,enable
51,22,no_difference
51,23,enable
51,24,cause
51,25,enable
51,26,affect
51,27,cause
51,28,affect
51,29,cause
51,30,no_difference
52,0,no_difference
52,1,enable
52,2,no_difference
52,3,cause
52,4,no_difference
52,5,cause
52,6,affect
52,7,enable
52,8,cause
52,9,enable
52,10,affect
52,11,enable
52,12,cause
52,13,affect
52,14,enable
52,15,enable
52,16,cause
52,17,affect
52,18,enable
52,19,affect
52,20,no_difference
52,21,enable
52,22,no_difference
52,23,no_difference
52,24,affect
52,25,enable
52,26,cause
52,27,enable
52,28,no_difference
52,29,no_difference
52,30,no_difference
53,0,no_difference
53,1,enable
53,2,no_difference
53,3,affect
53,4,no_difference
53,5,cause
53,6,cause
53,7,enable
53,8,affect
53,9,affect
53,10,cause
53,11,affect
53,12,cause
53,13,cause
53,14,enable
53,15,affect
53,16,cause
53,17,affect
53,18,enable
53,19,affect
53,20,no_difference
53,21,enable
53,22,no_difference
53,23,no_difference
53,24,cause
53,25,enable
53,26,affect
53,27,enable
53,28,no_difference
53,29,no_difference
53,30,no_difference
54,0,no_difference
54,1,enable
54,2,no_difference
54,3,enable
54,4,no_difference
54,5,cause
54,6,affect
54,7,enable
54,8,cause
54,9,cause
54,10,affect
54,11,enable
54,12,cause
54,13,cause
54,14,enable
54,15,cause
54,16,cause
54,17,affect
54,18,enable
54,19,enable
54,20,cause
54,21,enable
54,22,no_difference
54,23,no_difference
54,24,affect
54,25,enable
54,26,cause
54,27,enable
54,28,affect
54,29,no_difference
54,30,no_difference
55,0,no_difference
55,1,affect
55,2,no_difference
55,3,cause
55,4,no_difference
55,5,cause
55,6,affect
55,7,enable
55,8,enable
55,9,cause
55,10,affect
55,11,enable
55,12,cause
55,13,affect
55,14,affect
55,15,cause
55,16,cause
55,17,no_difference
55,18,cause
55,19,no_difference
55,20,affect
55,21,affect
55,22,no_difference
55,23,no_difference
55,24,affect
55,25,enable
55,26,cause
55,27,affect
55,28,no_difference
55,29,no_difference
55,30,no_difference
56,0,no_difference
56,1,enable
56,2,no_difference
56,3,cause
56,4,no_difference
56,5,cause
56,6,affect
56,7,no_difference
56,8,affect
56,9,no_difference
56,10,affect
56,11,enable
56,12,cause
56,13,cause
56,14,affect
56,15,cause
56,16,cause
56,17,enable
56,18,enable
56,19,cause
56,20,affect
56,21,enable
56,22,no_difference
56,23,no_difference
56,24,cause
56,25,no_difference
56,26,affect
56,27,no_difference
56,28,no_difference
56,29,no_difference
56,30,no_difference
57,0,no_difference
57,1,enable
57,2,no_difference
57,3,enable
57,4,no_difference
57,5,enable
57,6,no_difference
57,7,enable
57,8,cause
57,9,cause
57,10,enable
57,11,enable
57,12,cause
57,13,cause
57,14,affect
57,15,enable
57,16,enable
57,17,affect
57,18,enable
57,19,cause
57,20,affect
57,21,cause
57,22,no_difference
57,23,no_difference
57,24,enable
57,25,enable
57,26,cause
57,27,enable
57,28,no_difference
57,29,no_difference
57,30,no_difference
58,0,no_difference
58,1,enable
58,2,no_difference
58,3,cause
58,4,no_difference
58,5,cause
58,6,cause
58,7,enable
58,8,affect
58,9,cause
58,10,cause
58,11,cause
58,12,cause
58,13,cause
58,14,affect
58,15,cause
58,16,cause
58,17,affect
58,18,enable
58,19,cause
58,20,affect
58,21,affect
58,22,no_difference
58,23,no_difference
58,24,affect
58,25,enable
58,26,cause
58,27,affect
58,28,cause
58,29,no_difference
58,30,no_difference
59,0,no_difference
59,1,enable
59,2,affect
59,3,cause
59,4,affect
59,5,cause
59,6,cause
59,7,enable
59,8,cause
59,9,cause
59,10,cause
59,11,enable
59,12,cause
59,13,cause
59,14,cause
59,15,cause
59,16,cause
59,17,affect
59,18,enable
59,19,enable
59,20,affect
59,21,cause
59,22,no_difference
59,23,no_difference
59,24,enable
59,25,enable
59,26,cause
59,27,cause
59,28,affect
59,29,no_difference
59,30,no_difference
60,0,no_difference
60,1,enable
60,2,no_difference
60,3,cause
60,4,affect
60,5,cause
60,6,enable
60,7,enable
60,8,enable
60,9,cause
60,10,enable
60,11,enable
60,12,cause
60,13,enable
60,14,cause
60,15,cause
60,16,cause
60,17,affect
60,18,enable
60,19,affect
60,20,affect
60,21,enable
60,22,no_difference
60,23,no_difference
60,24,enable
60,25,enable
60,26,cause
60,27,cause
60,28,affect
60,29,no_difference
60,30,no_difference
61,0,no_difference
61,1,enable
61,2,no_difference
61,3,cause
61,4,no_difference
61,5,cause
61,6,enable
61,7,enable
61,8,affect
61,9,cause
61,10,enable
61,11,enable
61,12,cause
61,13,cause
61,14,enable
61,15,cause
61,16,cause
61,17,enable
61,18,enable
61,19,no_difference
61,20,no_difference
61,21,enable
61,22,no_difference
61,23,no_difference
61,24,enable
61,25,enable
61,26,enable
61,27,enable
61,28,no_difference
61,29,no_difference
61,30,no_difference
62,0,no_difference
62,1,enable
62,2,no_difference
62,3,cause
62,4,enable
62,5,cause
62,6,affect
62,7,no_difference
62,8,cause
62,9,cause
62,10,cause
62,11,cause
62,12,enable
62,13,cause
62,14,cause
62,15,cause
62,16,cause
62,17,enable
62,18,enable
62,19,cause
62,20,cause
62,21,cause
62,22,no_difference
62,23,no_difference
62,24,enable
62,25,enable
62,26,affect
62,27,cause
62,28,affect
62,29,no_difference
62,30,no_difference
63,0,enable
63,1,no_difference
63,2,cause
63,3,affect
63,4,cause
63,5,affect
63,6,cause
63,7,no_difference
63,8,no_difference
63,9,affect
63,10,enable
63,11,affect
63,12,affect
63,13,cause
63,14,enable
63,15,affect
63,16,cause
63,17,cause
63,18,cause
63,19,affect
63,20,affect
63,21,cause
63,22,affect
63,23,affect
63,24,affect
63,25,affect
63,26,cause
63,27,affect
63,28,affect
63,29,affect
63,30,cause
